,Date,Site ,File name,Video/still,Lat,Lng,Description,Video length ,General Public Description
1,10/11/2018,34,Site_34_1,Video,-41.07571,174.2862,"Soft ""fluffy"" looking mud, brittle stars, microphytobenthos (microscopic algae)s, burrows, tracks",0:20,"On the soft ""fluffy"" mud, tracks and burrowing prints of common seafloor organisms such as brittle stars and molluscs can be seen."
2,10/11/2018,33,Site_33_1,Video,-41.08566,174.2646,"Soft ""fluffy"" looking mud, microphytobenthos (microscopic algae)s, burrows, tracks, octopus",0:24,"An octopus lies on soft-sediment near large fluffy microphytobenthos (microscopic algae)s, and small tracks and burrowing marks of other sea creatures."
3,10/11/2018,32,Site_32_1,Video,-41.0793,174.2557,"Soft ""fluffy"" looking mud, microphytobenthos (microscopic algae)s, burrows, tracks, fish, macroalgae, cushion star fish, hermit crab",0:24,"Large microphytobenthos (microscopic algae)s cover most of the seafloor. Starfish, hermit crabs and small invertebrate tracks and burrows can be seen."
4,10/11/2018,35,Site_35_1,Video,-41.1042,174.3036,"Rocky substrate, anemones, fish, eleven arm starfish, macroalgae, blue cod, starfish, sponges, urchins",0:20,"White sea anenomes are seen spread over rocky surfaces, also attached is an eleven-armed starfish, macroalgae, bright sponges and urchins."
5,10/11/2018,35,Site_35_2,Video,-41.10371,174.3037,"Urchins, blue cod, sea cucumbers, macroalgae, eleven arm starfish, brittle stars, shell hash, microphytobenthos (microscopic algae)s, tracks",0:24,"Blue cod swim over the shell hash, sea urchins and microphytobenthos (microscopic algae)s which dominate the seafloor, while the odd eleven-armed starfish, sea cucumbers, brittlestars and sponges are present on top."
6,10/11/2018,36,Site_36_1,Video,-41.10147,174.3068,"Urchins, blue cod, sea cucumbers, macroalgae, eleven arm starfish,  shell hash, horse mussel, sponges",0:26,Blue cod is seen grazing over shell hash and eleven-armed starfish. Small abundances of macroalgae is surrounded by a large amount of sea urchins and the occassional sea slug. 
7,10/11/2018,R1,Site_R1_1,Video,-41.10595,174.2871,"Soft ""fluffy"" looking mud, microphytobenthos (microscopic algae), tracks, scallops, macroalgae",0:21,Large areas of semi-green mats of microphytobenthos (microscopic algae) cover the soft mud floor. Tracks of different neighbouring species line the seafloor where small amounts of scollaps lie.
8,10/11/2018,R2,Site_R2_1,Video,-41.11569,174.2893,"Tube worms, urchins, blue cod, spotty, sea cucumbers, shell hash ",0:26,There are dense quantities of tube worms lying in the sand or attached to rocks next to urchins and sea cucumbers; cautiously watching are spotty fish and blue cod.
9,10/11/2018,R3,Site_R3_1,Video,-41.12336,174.2755,"Sponges, brittle star, horse mussel, shell rubble, sea cucumbers, cushion stars, blue cod, tube worms",0:23,"Shell rubble covers the seafloor whilst large horse mussels, tube worms, brittle stars and cushion stars attempt to find space. Dark sponges can also be seen"
10,10/11/2018,R4,Site_R4_1,Video,-41.12646,174.295,"Soft sediment , sea slug, sponges, turret shells, sea cucumber, urchins, sea snails",0:27,"Bright orange sponges are spotted peaking through the soft sediment, whilst sea slugs, sea cucumbers, turret shells, urchins and sea snails lie close."
11,10/11/2018,37,Site_37_1,Video,-41.12709,174.2853,"Soft sediment , eleven arm starfish, sponges, urchins, burrows, horse mussels, turret shells",0:21,"Bright orange sponges peak through the soft sediment whilst dense patches of tube worms are close by. The occassional eleven-armed starfish, sea urchins, horse mussels and turret shells is also present."
12,10/11/2018,28,Site_28_1,Video,-41.12142,174.2313,"Soft muddy sediment, many burrows, urchins",0:19,Soft sediment with the occassional urchin with little burrows of organisms; not much life can be seen here on the surface.
13,10/11/2018,29,Site_29_1,Video,-41.12814,174.2334,"Soft mud, burrows, fish, tube worms",0:20,Soft sediment with different sized burrows and tube worms
14,10/11/2018,R5,Site_R5_1,Video,-41.11621,174.2208,"Blue cod, Ancorinid sponge, spotties, tube worms, eleven arm starfish, tube worms, turret shells, tunicates, sea cucumbers",0:25,"Blue cod and spotty fish glide over the rocky surfaces, where sponges, tube worms and sea cucumbers can be seen over multiple turret shells. A few sea squirts are also present. "
